beginnt am;beginnt um;endet um;Betreff;Beschreibung;Ort;
01.07.22;08:30;11:45;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;203;
01.07.22;12:45;16:00;Business English II;Jennifer King;203;
04.07.22;08:30;16:00;Übungen/Projektgruppen;;;
05.07.22;08:30;11:45;Accounting;Prof. Dr. Volker Drosse;103;
05.07.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;103;
06.07.22;08:30;16:00;Übungen/Projektgruppen;;;
07.07.22;08:30;11:45;Accounting;Prof. Dr. Volker Drosse;103;
07.07.22;12:45;16:00;Business English II;Jennifer King;103;
08.07.22;08:30;11:45;Business English II;Jennifer King;201;
08.07.22;12:45;16:00;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;201;
11.07.22;12:45;16:00;General Management II;Dr. René Rüth;102;
12.07.22;08:30;16:00;Übungen/Projektgruppen;;;
13.07.22;08:30;16:00;Übungen/Projektgruppen;;;
14.07.22;08:30;11:45;Business English II;Jennifer King;101;
14.07.22;12:45;16:00;Accounting;Prof. Dr. Volker Drosse;101;
15.07.22;08:30;11:45;Accounting;Prof. Dr. Volker Drosse;VR10-VDrosse;
15.07.22;12:45;16:00;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;VR13-JRolf;
18.07.22;12:45;16:00;Accounting;Prof. Dr. Volker Drosse;101;
19.07.22;12:45;16:00;Accounting;Prof. Dr. Volker Drosse;101;
20.07.22;08:30;16:00;Übungen/Projektgruppen;;;
21.07.22;08:30;16:00;Übungen/Projektgruppen;;;
22.07.22;08:30;11:45;General Management II;Dr. René Rüth;203;
22.07.22;12:45;16:00;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;203;
25.07.22;08:30;11:45;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;202;
27.07.22;08:30;11:45;Statistik;Prof. Dr. Matthias Maßmann;203;
27.07.22;12:45;16:00;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;203;
28.07.22;08:30;11:45;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;203;
28.07.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;203;
29.07.22;10:00;13:15;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;201;
01.08.22;08:30;11:45;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;101;
01.08.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;101;
02.08.22;08:30;11:45;Statistik;Prof. Dr. Matthias Maßmann;VR16-MMaßmann;
02.08.22;12:45;16:00;Accounting;Prof. Dr. Volker Drosse;VR10-VDrosse;
03.08.22;08:30;11:45;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;VR16-MMaßmann;
04.08.22;08:30;16:00;Übungen/Projektgruppen;;;
05.08.22;08:30;11:45;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;203;
05.08.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;203;
08.08.22;08:30;16:00;Übungen/Projektgruppen;;;
09.08.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;VR16-MMaßmann;
10.08.22;08:30;11:45;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;203;
10.08.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;203;
11.08.22;12:45;16:00;Formale Grundlagen der Informatik;Prof. Dr. Matthias Maßmann;203;
12.08.22;08:30;11:45;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;203;
15.08.22;08:30;11:45;Statistik;Prof. Dr. Matthias Maßmann;VR16-MMaßmann;
18.08.22;08:30;16:00;Übungen/Projektgruppen;;;
19.08.22;08:30;11:45;Business English II;Jennifer King;201;
19.08.22;12:45;16:00;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;201;
22.08.22;12:45;16:00;Statistik;Prof. Dr. Matthias Maßmann;202;
22.08.22;16:30;19:45;General Management II;Dr. René Rüth;202;
23.08.22;08:30;11:45;Accounting;Prof. Dr. Volker Drosse;101;
24.08.22;08:30;16:00;Übungen/Projektgruppen;;;
25.08.22;08:30;11:45;Business English II;Jennifer King;101;
25.08.22;12:45;16:00;Accounting;Prof. Dr. Volker Drosse;101;
26.08.22;12:45;16:00;Programmieren,Design und Implementierung von Algorithmen II;Jürgen Rolf;201;
29.08.22;08:30;11:45;Accounting;Prof. Dr. Volker Drosse;101;
